,DATE,TIME PERIOD,AT,BE,CY,DE,EE,ES,FI,FR,GR,HR,I9,IE,IT,LT,LU,LV,MT,NL,PT,SI,SK
248,2012-03-31,2012Q1,1.2,0.7,-1.9,1.0,3.4,-2.4,-0.6,0.7,-8.2,-0.8,-0.5,-1.4,-2.7,4.5,0.2,10.5,2.6,-0.8,-3.2,-1.7,2.3
249,2012-06-30,2012Q2,1.0,0.2,-3.6,0.9,3.7,-3.0,-1.4,0.3,-8.4,-3.2,-0.9,-0.5,-3.2,2.8,1.5,7.1,4.7,-0.8,-4.0,-2.7,1.9
250,2012-09-30,2012Q3,0.6,0.1,-2.9,0.5,3.2,-2.9,-1.9,0.1,-7.9,-2.3,-1.1,-0.5,-3.5,5.4,1.5,6.0,5.0,-1.1,-4.3,-2.5,1.5
251,2012-12-31,2012Q4,-0.3,-0.2,-5.4,0.2,4.3,-3.2,-2.1,-0.2,-4.2,-2.4,-1.2,-0.5,-3.3,4.8,3.5,6.0,4.1,-1.2,-4.6,-4.3,0.6
252,2013-03-31,2013Q1,-0.8,-0.6,-7.1,-0.6,4.0,-2.5,-2.4,-0.1,-5.1,-0.9,-1.3,0.9,-3.0,3.8,2.9,0.8,4.9,-1.1,-3.8,-2.9,0.3
253,2013-06-30,2013Q2,-0.4,0.3,-7.7,0.5,2.1,-1.7,-0.9,1.2,-3.2,0.5,-0.3,0.8,-2.3,4.7,4.7,2.0,6.9,-0.6,-1.5,-1.1,0.4
254,2013-09-30,2013Q3,-0.3,0.5,-6.6,0.8,1.1,-1.3,-0.3,0.9,-1.5,-0.2,0.2,5.9,-1.3,3.8,3.8,2.7,6.8,0.3,-0.7,-1.2,0.7
255,2013-12-31,2013Q4,0.4,0.9,-4.9,1.3,-0.1,-0.3,-0.3,1.7,-0.2,0.2,0.9,4.9,-0.7,4.0,1.2,2.6,6.4,1.5,2.2,2.6,1.4
256,2014-03-31,2014Q1,0.6,1.9,-3.5,2.9,1.4,0.4,-0.3,1.5,0.5,-0.8,1.7,9.6,0.2,4.6,3.3,2.8,7.9,1.8,1.1,2.2,2.0
257,2014-06-30,2014Q2,0.9,1.5,-1.4,1.7,2.1,1.0,-0.6,0.8,0.5,-0.7,1.2,10.2,0.2,4.4,0.1,2.2,6.5,1.7,0.5,3.0,2.4
258,2014-09-30,2014Q3,0.8,1.8,-1.4,1.7,3.5,1.9,-0.5,1.4,1.4,-0.8,1.4,7.8,-0.1,3.4,1.8,1.9,6.5,1.1,0.9,3.5,2.9
259,2014-12-31,2014Q4,1.2,1.9,-0.9,2.3,5.4,2.7,-0.5,0.5,-0.2,0.2,1.5,8.4,-0.1,2.8,5.4,1.7,9.8,1.9,0.5,1.6,3.4
260,2015-03-31,2015Q1,1.1,1.6,1.2,1.1,1.9,3.6,-0.4,1.1,0.6,1.7,1.9,25.8,0.3,2.4,2.5,2.7,9.8,2.0,1.8,2.3,4.8
261,2015-06-30,2015Q2,1.2,1.8,2.6,1.6,3.3,4.2,0.8,1.0,0.5,1.7,2.1,19.8,0.7,2.6,4.6,3.8,10.3,2.1,1.6,2.1,5.3
262,2015-09-30,2015Q3,1.4,1.3,4.0,1.6,2.9,4.3,0.4,0.7,-2.4,3.9,2.0,21.0,0.7,3.3,2.1,4.5,9.8,2.7,1.7,2.0,5.5
263,2015-12-31,2015Q4,1.4,1.2,5.9,1.3,1.1,4.2,1.1,1.1,0.4,1.7,2.1,22.8,1.3,3.1,0.1,3.9,8.6,1.5,1.3,2.0,5.1
264,2016-03-31,2016Q1,2.5,1.1,6.9,2.5,4.2,3.7,3.1,0.9,-1.2,4.5,1.8,-1.5,1.1,2.1,3.9,3.8,5.0,1.8,1.1,2.2,3.1
265,2016-06-30,2016Q2,1.9,1.2,6.3,2.2,2.0,2.9,1.6,0.6,-1.3,3.1,1.6,1.3,1.0,2.1,4.5,2.8,3.5,2.1,1.5,2.9,2.1
266,2016-09-30,2016Q3,2.2,1.2,6.5,2.1,2.3,2.7,2.8,0.5,0.9,1.9,1.7,-0.2,1.7,2.5,5.8,1.2,4.2,2.6,2.4,3.3,1.3
267,2016-12-31,2016Q4,2.1,1.3,6.6,2.0,3.7,2.4,2.7,0.8,-0.3,4.8,2.0,7.7,1.5,3.8,5.7,2.6,3.7,3.2,3.0,4.0,1.2
268,2017-03-31,2017Q1,2.1,1.8,6.3,2.2,4.1,2.4,2.5,1.1,0.7,2.3,2.2,10.5,1.8,5.2,1.2,2.5,13.0,3.1,3.7,5.4,2.0
269,2017-06-30,2017Q2,2.4,1.4,5.8,2.8,6.1,3.1,3.9,2.2,1.3,3.4,2.7,10.1,1.9,4.9,1.3,2.7,12.9,2.8,3.5,5.3,2.6
270,2017-09-30,2017Q3,2.5,1.2,5.9,3.2,5.4,3.0,3.2,2.9,2.0,4.1,3.0,15.2,1.4,4.4,1.6,3.7,13.0,2.7,3.1,5.1,3.1
271,2017-12-31,2017Q4,2.5,1.6,5.1,3.8,5.6,3.0,3.6,3.0,0.3,3.0,3.0,8.8,1.6,4.4,1.2,3.3,13.0,2.5,2.9,6.4,3.8
272,2018-03-31,2018Q1,1.9,1.4,6.1,2.0,4.2,2.7,2.8,2.2,1.9,2.1,2.3,9.9,1.0,4.5,2.7,3.6,4.9,2.6,2.5,4.5,4.0
273,2018-06-30,2018Q2,2.4,1.7,6.6,1.9,3.5,2.3,1.3,1.5,1.7,3.7,2.1,10.6,0.8,5.3,0.7,4.5,7.4,2.6,3.2,4.7,4.2
274,2018-09-30,2018Q3,2.3,2.2,5.7,0.5,3.8,2.3,0.7,1.2,0.5,2.8,1.4,5.9,0.6,4.6,0.5,4.1,8.6,2.1,3.2,5.0,4.4
275,2018-12-31,2018Q4,2.8,2.3,6.7,0.1,3.4,2.2,0.0,1.4,2.2,2.9,1.2,3.6,0.3,5.0,1.0,4.1,7.7,1.7,2.9,3.7,3.6
276,2019-03-31,2019Q1,3.2,2.3,5.6,1.2,4.7,2.4,0.7,2.4,1.5,4.7,1.8,4.5,0.7,4.9,1.3,2.8,5.8,2.2,3.2,4.9,3.3
277,2019-06-30,2019Q2,2.0,2.4,6.1,0.5,3.8,2.1,1.6,2.7,2.3,3.3,1.7,5.0,0.8,4.9,3.8,1.1,4.6,2.2,2.7,3.2,2.3
278,2019-09-30,2019Q3,1.7,2.7,6.5,1.5,3.2,1.7,1.7,2.3,2.1,2.8,1.8,5.4,0.4,4.8,3.2,0.9,2.8,2.5,2.4,3.0,1.7
279,2019-12-31,2019Q4,0.3,2.4,5.3,0.9,2.8,1.7,1.4,0.9,1.3,2.0,1.2,6.3,-0.3,4.4,3.3,-0.5,3.5,2.3,2.7,2.6,1.8
280,2020-03-31,2020Q1,-2.6,-0.7,3.0,-1.9,-0.4,-4.2,0.4,-5.0,-1.6,-1.4,-2.8,8.8,-6.3,2.7,1.6,-0.8,6.1,-0.1,-2.4,-2.3,-1.1
281,2020-06-30,2020Q2,-14.0,-12.1,-10.3,-10.7,-6.3,-21.5,-6.8,-17.2,-16.0,-15.6,-13.9,0.1,-18.0,-4.2,-6.4,-10.7,-9.2,-8.8,-17.6,-10.9,-9.0
282,2020-09-30,2020Q3,-4.3,-2.7,-4.9,-3.2,-2.3,-9.1,-2.4,-4.3,-10.7,-11.1,-4.1,10.6,-5.9,1.4,1.3,-1.1,-6.3,-3.3,-6.1,-1.7,-0.3
283,2020-12-31,2020Q4,-5.2,-3.7,-0.6,-2.0,-1.2,-9.0,-1.1,-3.9,-7.6,-3.5,-3.8,5.3,-5.6,0.3,0.0,0.0,-3.4,-3.0,-6.6,-4.3,0.0
284,2021-03-31,2021Q1,-4.6,0.4,3.3,-1.0,3.2,-2.9,-1.7,1.7,-2.2,3.5,0.1,11.7,1.9,3.0,4.7,0.2,1.2,-1.1,-5.4,3.6,3.4
285,2021-06-30,2021Q2,13.4,14.5,18.7,11.5,12.4,19.8,6.8,17.4,14.7,19.6,15.2,23.4,19.0,10.1,12.4,12.6,17.4,12.2,16.5,15.3,13.3
286,2021-09-30,2021Q3,5.4,4.7,13.9,2.6,7.0,5.4,3.3,4.4,11.9,16.1,5.1,12.9,7.3,5.8,4.1,8.5,19.1,7.3,5.5,6.0,3.7
287,2021-12-31,2021Q4,6.8,6.1,10.6,2.1,6.3,6.7,2.8,5.2,9.2,10.9,5.6,15.4,8.3,6.8,7.8,7.2,14.6,7.0,7.2,9.9,3.2
288,2022-03-31,2022Q1,8.8,5.2,9.3,3.4,3.7,6.9,3.5,4.6,7.7,7.9,5.5,8.8,7.1,5.5,3.7,7.1,8.1,7.1,12.2,5.1,1.9
289,2022-06-30,2022Q2,6.9,5.0,8.7,0.8,-0.6,7.3,2.3,3.8,6.8,9.5,4.1,8.1,6.3,2.6,2.1,5.4,5.2,5.8,7.7,4.5,0.4
290,2022-09-30,2022Q3,3.1,3.7,7.1,1.4,-0.5,6.1,0.8,1.4,4.0,8.1,2.8,8.5,3.6,1.8,2.1,-2.2,2.1,3.8,5.0,1.9,-0.1
291,2022-12-31,2022Q4,3.0,3.1,4.6,0.2,-2.7,4.6,-0.7,0.9,4.3,3.7,1.9,9.3,2.4,0.3,-2.1,-0.9,3.3,3.5,3.6,1.0,-0.3
292,2023-03-31,2023Q1,2.1,2.5,2.8,0.2,-4.3,3.9,-0.6,1.1,2.0,2.2,1.4,-0.3,2.3,-1.5,-1.4,0.3,5.3,2.4,3.3,1.8,0.0
293,2023-06-30,2023Q2,-1.1,1.3,2.7,0.1,-2.8,2.4,-0.7,1.3,2.6,3.4,0.5,-3.8,0.5,1.6,-0.5,1.0,9.2,-0.5,2.9,2.4,1.3
294,2023-09-30,2023Q3,-1.8,0.6,2.3,-0.3,-2.9,2.2,-1.8,0.9,2.1,2.4,0.0,-8.3,0.1,0.9,-1.9,2.4,7.2,-0.9,1.8,2.5,1.9
295,2023-12-31,2023Q4,-2.4,0.6,2.7,-0.2,-2.4,2.3,-1.5,1.2,1.3,5.2,0.1,-9.9,0.3,0.7,-0.6,1.1,6.4,-0.6,2.1,2.8,2.2
296,2024-03-31,2024Q1,-1.5,0.8,3.8,-0.1,-1.5,2.6,-1.3,1.4,2.1,4.2,0.5,-4.1,0.3,2.7,-0.2,0.1,7.0,-0.7,1.4,1.9,2.7
297,2024-06-30,2024Q2,-1.2,0.9,3.5,-0.2,-1.3,3.2,-1.4,0.9,2.3,3.2,0.6,-4.1,0.7,1.5,0.3,-0.2,5.8,0.6,1.6,0.7,2.1
298,2024-09-30,2024Q3,-0.1,,3.8,-0.3,-0.7,3.4,0.4,1.2,,,0.9,-0.2,0.4,2.3,,-1.4,5.4,1.9,,1.0,1.7
